"Id","Business Name","Number of Employees","Contact Person","Corporate Email","Generic Email","Website","Phone","Phone Type","Street Address","Zip Code","State","City"
"1","Cour Logistics","N/A","Mr. Jesse Ybarra (Manager)","","","","(520) 900-3278","mobile","Address on File with BBB","85754","AZ","Tucson"
"2","XPO Logistics, Inc.","N/A","Mr. Troy Cooper (President)","","","http://www.xpo.com/","(855) 976-6951","","5 American Ln","06831-2551","CT","Greenwich"
"3","Dircks Moving   Logistics","N/A","Mr. Robert Dircks (President) , Mr. Rick Dircks (Vice President)","","","http://www.horizonmoving.com","(520) 747-1400","fixed line","3600 E 36th Street","85713-5486","AZ","Tucson"
"4","National Freight Movers   Logistics LLC","N/A","","","","http://www.nationalfreightmovers.com","(520) 762-4655","fixed line","1010 E Pennsylvania St STE 206","85714-1665","AZ","Tucson"
"5","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"6","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"7","W J Byrnes   CO","N/A","Mr. Steve Besler (Member)","","","http://byrnesglobal.com","","","4455 S Park Ave # 113","85714-1669","AZ","Tucson"
"8","Ralph's Moving and Storage","N/A","Mr. Robert Wicks (President) , Ms. Kathleen Wicks (Vice President)","","info@ralphstransfer.com","http://www.ralphtransfer.com","(520) 622-6461","voip","4051 S Longfellow Ave","85714-2162","AZ","Tucson"
"9","Independent Courier","N/A","Ms. Jovoni Vega (Managing Member) , Ms. Andrea Matthews (Managing Member)","","","http://www.independentcourieraz.com","(520) 891-3157","fixed line","845 E Ohio St # 107","85714-3313","AZ","Tucson"
"1","Steen Logistics","N/A","Mrs. Eiunike Jones (Owner)","","micah@micahrich.com","http://www.steenlogistics.org","(470) 840-7922","mobile","1100 Peachtree St NE","30309-4501","GA","Atlanta"
"3","R   W Logistical Corporation","N/A","Mrs. Tonja Russell (Owner)","","","http://www.rwlogisticalcorp.com","(770) 742-4900","mobile","1230 Peachtree St NE Fl 19","30309-3574","GA","Atlanta"
"4","Powerone Logistics LLC","N/A","","","","http://www.poweronelogistics.com","(866) 687-4531","","3565 Piedmont Rd NE Bldg 3","30305","GA","Atlanta"
"5","AYA Global Logistics LLC","N/A","Mr. Paul Prempeh (Owner)","","","","(770) 339-1974","fixed line","3525 Piedmont Rd NE Bldg 7 STE 202","30305-1578","GA","Atlanta"
"6","Joyner Transportation   Logistic Services","N/A","Jonathan Joyner (CEO)","","","https://myjoyner.com","(800) 397-9916","","1201 W Peachtree St NW","30309-3449","GA","Atlanta"
"7","TC   Associates Logistics","N/A","","","","http://tcalogistics.com","","","2870 Peachtree Rd NW","30305-2918","GA","Atlanta"
"8","Supply Chain Logistics Software Innovators","N/A","","","","http://www.my-supplychain.com","(404) 662-2434","fixed line","201 17th St NW Ste 300","30363","GA","Atlanta"
"9","Total Quality Logistics, LLC","N/A","Mr. Ken Oaks (President) , Mr. Jeff Montelisciani (Vice President) , Mr. Kerry Byrne (Executive Vice President) , Mr. Justin O'Grady (Manager, Carrier Relations)","","","http://www.tql.com","(513) 831-2600","fixed line","4289 Ivy Pointe Blvd.","45245","OH","Cincinnati"
"10","Capital Logistics","N/A","","","","","(906) 368-4055","fixed line","1710 Chattahoochee Ave NW","30318-2156","GA","Atlanta"
"11","Alfa X Logistics, LLC","N/A","Mr. Roman Shmundyak (Owner)","","","https://www.alfaxlogistics.com","(404) 997-2532","fixed line","1579 Monroe Dr NE STE F118","30324-5039","GA","Atlanta"
"12","Dacon Group Logistics LLC","N/A","Mr. Antonio Segioli (Account Manager)","","","","(770) 212-3895","fixed line","3400 Peachtree Rd NE","30326-1170","GA","Atlanta"
"13","NLG Logistics ltd.","N/A","Customer Service","","","","(484) 899-0907","fixed line","","30301","GA","Atlanta"
"14","AXM Logistics","N/A","","","","http://axmlogistics.com/","(404) 369-1501","fixed line","P.O. Box 190006","31119","GA","Atlanta"
"15","Blue Seas Logistics, LLC","N/A","Mr. Ikechi Eze (Manager)","","","","(770) 837-4522","mobile","","30339","GA","Atlanta"
"16","Gold Bar Logistics, LLC","N/A","Mr. Jeremy Haskell (Owner/CEO)","","","https://goldbarlogistics.com/","(404) 547-0861","mobile","","30309-3453","GA","Atlanta"
"18","Agnee Logistic","N/A","","","","","(315) 636-5261","fixed line","3355 Lenox Rd NE STE 1000","30326-2000","GA","Atlanta"
"19","International Maritime Logistics","N/A","","","","","(202) 235-0107","fixed line","20 Forsyth St NW STE B","30303-2212","GA","Atlanta"
"20","T G M S Logistics LLC","N/A","Complaint Handler","","","","","","829 Ponce de Leon Pl NE","30306-3724","GA","Atlanta"
"21","Guaranteed Global Logistics","N/A","Nathan Pendergrass (Registered Agent)","","","https://ggl-otr.com/","(208) 858-1606","fixed line","541 10th St NW","30318-5713","GA","Atlanta"
"22","Allied Logistics Inc","N/A","Milton Kirby (President)","","","http://www.allied-logistics.net","(404) 588-5175","fixed line","57 Forsyth Street NW Suite 250-G","30303-2226","GA","Atlanta"
"23","Q Hill Express Carriers, LLC.","N/A","","","","","(888) 727-1282","","1100 Peachtree St. NW, Ste","30309","GA","Atlanta"
"24","Red Walk Logistics, LLC","N/A","Mr. Marcus Walker (Owner)","","","http://www.redwalklogistics.com","(833) 925-5733","","2727 Paces Ferry Rd SE #750 BLDG 1","30308","GA","Atlanta"
"25","Tranmazon, LLC","N/A","Mr. Milton Collier (Owner)","","CS@TranMazon.com","http://www.tranmazon.com","(800) 872-6219","","1170 Peachtree St NE Ste 1200","30309-7673","GA","Atlanta"
"26","CMQ Global Logistics, LLC","N/A","Ms. Conectrice Belcher (Owner)","","","","(855) 914-4200","","3348 Peachtree Rd NE STE 700","30326-1682","GA","Atlanta"
"27","Blue Logistics, LLC","N/A","Mr. Keith Williams (President/Owner)","","info@bluelgx.com","http://www.bluelgx.com","(404) 980-0824","mobile","244 Peters St SW Unit 25","30313-1250","GA","Atlanta"
"28","Apak Fleet   Logistics, INC","N/A","Jason Armstrong (CEO)","","","","(516) 425-7884","mobile","","30308-2179","GA","Atlanta"
"29","Fast Shipping Logistics Group","N/A","Business Manager (Business Manager)","","","https://www.fslogisticsgroup.com/index.html","(470) 369-5682","fixed line","3780 Southside Industrial Ct SE","30354","GA","Atlanta"
